
Profile Name 		MP-PJ-N-29-frag2
Scan No 	Precursor ion m/z 	Intensity 	Charge 	Deconvoluted Mass (Mass + Na) 	Glycan Rank 	Composition Score 	Branching Score 	Glycan ID 	Composition 	Sequence 	Glycan Mass 	Carbohydrate Mass 	Single Glycosidic % Match: 	Single CrossRing % Match: 	Glycosidic-Glycosidic % Match: 	Single CrossRing-Glycosidic % Match: 	
Scan4@1407.71_2	1407.71	204050.0	2	2792.43	1	1	1	G10702	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3 (Asn)1	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2222.79(Asn)	2222.79	17.5	5.3	10.56	3.42	
Scan4@1407.71_2	1407.71	204050.0	2	2792.43	2	1	2	G03802	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3 (Asn)1	NeuAc(a2-)Gal(b1-4)GlcNAc(b1-4)Man(a1-3)[NeuAc(a2-)Gal(b1-4)GlcNAc(b1-4)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2222.79(Asn)	2222.79	17.5	4.63	10.56	3.33	
Scan4@1407.71_2	1407.71	204050.0	2	2792.43	3	1	3	G03916	(NeuAc)2 (Gal)2 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-3)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2222.79	2222.79	17.5	5.3	10.56	3.25	

Scan6@1141.592_1	1141.592	117867.0	1	1141.592	1	1	1	G10653	(Fuc)1 (GlcNAc)2 (Man)2 (Asn)1	Man(a1-6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	894.34(Asn)	894.34	37.5	1.67	8.33	0.0	
Scan6@1141.592_1	1141.592	117867.0	1	1141.592	1	1	1	G12335	(Fuc)1 (GlcNAc)2 (Man)2	Man(a1-3)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	894.34	894.34	37.5	1.67	8.33	0.0	
Scan6@1141.592_1	1141.592	117867.0	1	1141.592	1	1	1	G02026	(Fuc)1 (GlcNAc)2 (Man)2	Man(a1-6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc	894.34	894.34	37.5	1.67	8.33	0.0	
Scan6@1141.592_1	1141.592	117867.0	1	1141.592	1	1	1	G00385	(Fuc)1 (GlcNAc)2 (Man)2	Man(a1-6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	894.34	894.34	37.5	1.67	8.33	0.0	
Scan6@1141.592_1	1141.592	117867.0	1	1141.592	1	1	1	G11709	(Fuc)1 (GlcNAc)2 (Man)2 (Asn)1	Man(a1-6)Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	894.34(Asn)	894.34	37.5	1.67	8.33	0.0	

Scan8@1216.61_3	1216.61	113646.0	3	3603.85	1	1	33	G01915	(NeuAc)3 (Gal)3 (GlcNAc)5 (Man)3	NeuAc(a2-6)Gal(b1-4)GlcNAc(b1-2)[Gal(b1-3)[NeuAc(a2-6)]GlcNAc(b1-4)]Man(a1-3)[NeuAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2879.02	2879.02	25.0	0.6	4.81	2.36	
Scan8@1216.61_3	1216.61	113646.0	3	3603.85	2	2	37	G01874	(NeuAc)3 (Gal)3 (GlcNAc)5 (Man)3	NeuAc(a2-3)Gal(b1-3)[NeuAc(a2-6)]GlcNAc(b1-4)[NeuAc(a2-6)Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2879.02	2879.02	15.38	0.6	4.17	2.41	
Scan8@1216.61_3	1216.61	113646.0	3	3603.85	3	3	35	G03029	(NeuAc)3 (Gal)3 (GlcNAc)5 (Man)3	NeuAc(a2-3)Gal(b1-3)[NeuAc(a2-6)]GlcNAc(b1-4)[Gal(b1-4)GlcNAc(b1-2)]Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	2879.02	2879.02	17.31	0.6	3.85	3.12	

Scan10@929.474_2	929.474	96248.5	2	1835.958	1	1	1	G00468	(Fuc)1 (GlcNAc)4 (Man)3	GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1462.55	1462.55	28.57	0.0	5.95	1.35	
Scan10@929.474_2	929.474	96248.5	2	1835.958	1	1	1	G00178	(Fuc)1 (GlcNAc)4 (Man)3 (Asn)1	GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc	1462.55(Asn)	1462.55	28.57	0.0	5.95	1.35	
Scan10@929.474_2	929.474	96248.5	2	1835.958	1	1	1	G00016	(Fuc)1 (GlcNAc)4 (Man)3 (Asn)1	GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1462.55(Asn)	1462.55	28.57	0.0	5.95	1.35	
Scan10@929.474_2	929.474	96248.5	2	1835.958	2	1	2	G05494	(Fuc)1 (GlcNAc)4 (Man)3	GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1462.55	1462.55	28.57	0.0	5.95	1.17	
Scan10@929.474_2	929.474	96248.5	2	1835.958	2	1	2	G05495	(Fuc)1 (GlcNAc)4 (Man)3	GlcNAc(b1-4)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1462.55	1462.55	28.57	0.0	5.95	1.17	
Scan10@929.474_2	929.474	96248.5	2	1835.958	3	1	3	G05037	(Fuc)1 (GlcNAc)4 (Man)3 (Asn)1	GlcNAc(b1-4)Man(a1-3)[GlcNAc(b1-4)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1462.55(Asn)	1462.55	28.57	0.0	5.95	1.0	
Scan10@929.474_2	929.474	96248.5	2	1835.958	3	1	3	G05493	(Fuc)1 (GlcNAc)4 (Man)3	GlcNAc(b1-4)Man(a1-3)[GlcNAc(b1-6)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1462.55	1462.55	28.57	0.0	5.95	1.0	

Scan12@903.45_2	903.45	75817.1	2	1783.91	1	1	1	G02243	(GlcNAc)2 (Man)6	Man(a1-2)Man(a1-3)[Man(a1-2)Man(a1-6)]Man(a1-6)Man(b1-4)GlcNAc(b1-4)GlcNAc	1396.49	1396.49	53.57	16.67	30.95	12.15	
Scan12@903.45_2	903.45	75817.1	2	1783.91	2	1	2	G05437	(GlcNAc)2 (Man)6	Man(a1-2)Man(a1-3)Man(a1-6)[Man(a1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1396.49	1396.49	50.0	15.62	26.19	13.37	
Scan12@903.45_2	903.45	75817.1	2	1783.91	3	1	3	G10595	(GlcNAc)2 (Man)6 (PP-Dol)1	Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1396.49(PP-Dol)	1396.49	50.0	15.62	26.19	13.29	
Scan12@903.45_2	903.45	75817.1	2	1783.91	3	1	3	G00522	(GlcNAc)2 (Man)6	Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1396.49	1396.49	50.0	15.62	26.19	13.29	
Scan12@903.45_2	903.45	75817.1	2	1783.91	3	1	3	G11014	(GlcNAc)2 (Man)6 (Asn)1	Man(a1-2)Man(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1396.49(Asn)	1396.49	50.0	15.62	26.19	13.29	

Scan14@1004.5_3	1004.5	67853.2	3	2967.52	1	1	1	G11975	(NeuAc)2 (Gal)2 (Fuc)1 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-4)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	2368.85	2368.85	22.73	6.94	11.36	6.37	
Scan14@1004.5_3	1004.5	67853.2	3	2967.52	2	1	2	G10716	(NeuAc)2 (Gal)2 (Fuc)1 (GlcNAc)4 (Man)3 (Asn)1	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	2368.85(Asn)	2368.85	22.73	6.94	11.36	6.29	
Scan14@1004.5_3	1004.5	67853.2	3	2967.52	2	1	2	G00206	(NeuAc)2 (Gal)2 (Fuc)1 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	2368.85	2368.85	22.73	6.94	11.36	6.29	
Scan14@1004.5_3	1004.5	67853.2	3	2967.52	2	1	2	G03840	(NeuAc)2 (Gal)2 (Fuc)1 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(a1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-4)GlcNAc(a1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	2368.85	2368.85	22.73	6.94	11.36	6.29	
Scan14@1004.5_3	1004.5	67853.2	3	2967.52	3	1	3	G03820	(NeuAc)2 (Gal)2 (Fuc)1 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[NeuAc(a2-3)Gal(b1-3)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	2368.85	2368.85	22.73	6.94	11.36	5.86	

Scan16@801.4_2	801.4	67265.7	2	1579.81	1	1	1	G10338	(GlcNAc)2 (Man)5	Man(a1-3)[Man(a1-6)]Man(a1-6)[GlcNAc(b1-4)][Man(a1-3)]Man(b1-4)GlcNAc	1234.44	1234.44	41.67	5.95	10.0	0.88	
Scan16@801.4_2	801.4	67265.7	2	1579.81	2	1	3	G05485	(GlcNAc)2 (Man)5 (Asn)1	Man(a1-3)[Man(a1-6)]Man(a1-6)[Man(a1-2)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1234.44(Asn)	1234.44	37.5	7.14	5.0	1.16	
Scan16@801.4_2	801.4	67265.7	2	1579.81	3	1	4	G10874	(GlcNAc)2 (Man)5 (Asn)1	Man(a1-3)[Man(a1-6)]Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1234.44(Asn)	1234.44	37.5	7.14	5.0	1.15	
Scan16@801.4_2	801.4	67265.7	2	1579.81	3	1	4	G02264	(GlcNAc)2 (Man)5	Man(a1-3)[Man(a1-6)]Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1234.44	1234.44	37.5	7.14	5.0	1.15	

Scan18@1089.549_2	1089.549	62940.5	2	2156.108	1	1	1	G04205	(NeuAc)1 (Gal)1 (Fuc)1 (GlcNAc)3 (Man)3 (Asn)1	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1712.62(Asn)	1712.62	28.12	5.56	16.96	4.12	
Scan18@1089.549_2	1089.549	62940.5	2	2156.108	2	1	2	G04414	(NeuAc)1 (Gal)1 (Fuc)1 (GlcNAc)3 (Man)3	NeuAc(a2-3)Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1712.62	1712.62	28.12	5.56	16.96	3.86	
Scan18@1089.549_2	1089.549	62940.5	2	2156.108	3	1	3	G12076	(NeuAc)1 (Gal)1 (Fuc)1 (GlcNAc)3 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1712.62	1712.62	28.12	5.56	16.96	3.46	

Scan20@1227.119_2	1227.119	45625.5	2	2431.249	1	1	1	G00771	(NeuAc)1 (Gal)2 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1931.69	1931.69	22.22	6.67	16.67	6.79	
Scan20@1227.119_2	1227.119	45625.5	2	2431.249	1	1	1	G00203	(NeuAc)1 (Gal)2 (GlcNAc)4 (Man)3 (Asn)1	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1931.69(Asn)	1931.69	22.22	6.67	16.67	6.79	
Scan20@1227.119_2	1227.119	45625.5	2	2431.249	2	1	2	G00205	(NeuAc)1 (Gal)2 (GlcNAc)4 (Man)3 (Asn)1	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1931.69(Asn)	1931.69	22.22	7.5	16.67	6.68	
Scan20@1227.119_2	1227.119	45625.5	2	2431.249	2	1	2	G12041	(NeuAc)1 (Gal)2 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1931.69	1931.69	22.22	7.5	16.67	6.68	
Scan20@1227.119_2	1227.119	45625.5	2	2431.249	3	1	3	G04207	(NeuAc)1 (Gal)2 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[Gal(b1-4)GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1931.69	1931.69	22.22	6.67	16.67	6.57	

Scan23@1052.034_2	1052.034	87802.9	2	2081.078	1	1	1	G10687	(Fuc)1 (GlcNAc)5 (Man)3 (Asn)1	GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1665.63(Asn)	1665.63	15.62	0.0	13.39	0.65	
Scan23@1052.034_2	1052.034	87802.9	2	2081.078	1	1	1	G00452	(Fuc)1 (GlcNAc)5 (Man)3	GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)][GlcNAc(b1-4)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1665.63	1665.63	15.62	0.0	13.39	0.65	
Scan23@1052.034_2	1052.034	87802.9	2	2081.078	2	1	2	G05088	(Fuc)1 (GlcNAc)5 (Man)3	GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1665.63	1665.63	15.62	0.0	13.39	0.52	
Scan23@1052.034_2	1052.034	87802.9	2	2081.078	2	1	2	G10831	(Fuc)1 (GlcNAc)5 (Man)3 (Asn)1	GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1665.63(Asn)	1665.63	15.62	0.0	13.39	0.52	
Scan23@1052.034_2	1052.034	87802.9	2	2081.078	2	1	2	G10774	(Fuc)1 (GlcNAc)5 (Man)3 (Asn)1	GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1665.63(Asn)	1665.63	15.62	0.0	13.39	0.52	
Scan23@1052.034_2	1052.034	87802.9	2	2081.078	2	1	2	G00620	(Fuc)1 (GlcNAc)5 (Man)3	GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1665.63	1665.63	15.62	0.0	13.39	0.52	
Scan23@1052.034_2	1052.034	87802.9	2	2081.078	2	1	2	G00774	(Fuc)1 (GlcNAc)5 (Man)3	GlcNAc(b1-2)[GlcNAc(b1-6)]Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1665.63	1665.63	15.62	0.0	13.39	0.52	
Scan23@1052.034_2	1052.034	87802.9	2	2081.078	3	1	3	G04739	(Fuc)1 (GlcNAc)4 (GalNAc)1 (Man)3	GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)[GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1665.63	1665.63	12.5	0.0	11.61	0.66	
Scan23@1052.034_2	1052.034	87802.9	2	2081.078	3	1	3	G02841	(Fuc)1 (GlcNAc)4 (GalNAc)1 (Man)3	GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1665.63	1665.63	12.5	0.0	11.61	0.66	

Scan25@1154.085_2	1154.085	67360.0	2	2285.18	1	1	1	G04543	(Gal)1 (Fuc)1 (GlcNAc)5 (Man)3	Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-4)[GlcNAc(b1-2)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc	1827.68	1827.68	19.44	0.0	5.56	1.27	
Scan25@1154.085_2	1154.085	67360.0	2	2285.18	2	2	9	G01837	(Gal)1 (Fuc)1 (GlcNAc)4 (GalNAc)1 (Man)3	Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1827.68	1827.68	8.33	1.67	4.17	1.26	
Scan25@1154.085_2	1154.085	67360.0	2	2285.18	2	2	9	G12034	(Gal)1 (Fuc)1 (GlcNAc)4 (GalNAc)1 (Man)3	GalNAc(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1827.68	1827.68	8.33	1.67	4.17	1.26	
Scan25@1154.085_2	1154.085	67360.0	2	2285.18	3	3	2	G02214	(Gal)1 (Fuc)1 (GlcNAc)5 (Man)3	Gal(b1-4)GlcNAc(b1-2)[GlcNAc(b1-4)]Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1827.68	1827.68	16.67	3.33	5.56	1.46	

Scan27@1274.97_3	1274.97	81510.1	3	3778.93	1	1	1	G04224	(NeuAc)1 (Gal)5 (GlcNAc)7 (Man)3 (Asn)1	Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)GlcNAc	3027.09(Asn)	3027.09	13.33	3.12	15.48	6.12	

Scan29@1031.521_2	1031.521	78502.4	2	2040.051	1	1	7	G04692	(Fuc)1 (GlcNAc)3 (GalNAc)1 (Man)4	GalNAc(b1-4)GlcNAc(b1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1624.6	1624.6	25.0	2.78	11.61	3.14	
Scan29@1031.521_2	1031.521	78502.4	2	2040.051	2	2	1	G04973	(Gal)1 (Fuc)1 (GlcNAc)4 (Man)3	Gal(b1-3)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1624.6	1624.6	37.5	4.63	12.5	3.95	
Scan29@1031.521_2	1031.521	78502.4	2	2040.051	3	2	2	G10775	(Gal)1 (Fuc)1 (GlcNAc)4 (Man)3 (Asn)1	Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1624.6(Asn)	1624.6	37.5	4.63	12.5	3.82	
Scan29@1031.521_2	1031.521	78502.4	2	2040.051	3	2	2	G00414	(Gal)1 (Fuc)1 (GlcNAc)4 (Man)3	Gal(b1-4)GlcNAc(b1-2)Man(a1-3)[GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	1624.6	1624.6	37.5	4.63	12.5	3.82	

Scan31@941.461_3	941.461	38680.6	3	2778.404	1	1	1	G11942	(NeuAc)1 (Gal)2 (Fuc)2 (GlcNAc)4 (Man)3 (Asn)1	Fuc(a1-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[NeuAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	2223.81(Asn)	2223.81	29.55	4.17	14.55	7.21	
Scan31@941.461_3	941.461	38680.6	3	2778.404	2	2	2	G01805	(NeuAc)1 (Gal)2 (Fuc)2 (GlcNAc)4 (Man)3	NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	2223.81	2223.81	29.55	6.25	11.82	8.83	
Scan31@941.461_3	941.461	38680.6	3	2778.404	3	2	3	G03813	(NeuAc)1 (Gal)2 (Fuc)2 (GlcNAc)4 (Man)3 (Asn)1	NeuAc(a2-6)Gal(b1-4)GlcNAc(b1-2)Man(a1-2)[Gal(b1-4)[Fuc(a1-3)]GlcNAc(b1-2)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc	2223.81(Asn)	2223.81	29.55	2.78	11.82	8.21	

